SL NO.,Title,Authors,Published Year,Abstract,Paper Link
111,Machine learning and shap-based prediction of multifactor thermal-oxidative aging behavior in glass fiber reinforced polyamide6,"Hui Zhan#, Jie Liu#, Tongfei Shi",2026,"Abstract

In this study, glass fiber-reinforced polyamide 6 (PA6-GF) was selected as a representative system to establish a predictive framework for thermal-oxidative aging behavior. Through nonlinear fitting of traditional empirical models followed by the evaluation of twelve machine learning algorithms, it was found that the conventional models exhibited limited predictive accuracy and generalization capability, whereas the machine learning approaches were able to more effectively capture the complex nonlinear interactions among temperature, oxygen partial pressure, specimen thickness, and aging time. To further elucidate the underlying mechanisms, SHapley Additive exPlanations (SHAP) analysis was employed, highlighting the distinct roles and relative contributions of aging time, oxygen partial pressure, temperature, and thickness in governing the thermal-oxidative aging process. These findings enhance the understanding of multi-factor aging mechanisms and provide practical guidance for improving the long-term durability and reliability of engineering components operating under complex service conditions.",https://www.oaepublish.com/articles/jmi.2025.81
112,Applications of Machine Learning in Food Safety and HACCP Monitoring of Animal-Source Foods,"Panagiota-Kyriaki Revelou, Efstathia Tsakali, Anthimia Batrinou, Irini F. Strati",8 March 2025,"Abstract

Integrating advanced computing techniques into food safety management has attracted significant attention recently. Machine learning (ML) algorithms offer innovative solutions for Hazard Analysis Critical Control Point (HACCP) monitoring by providing advanced data analysis capabilities and have proven to be powerful tools for assessing the safety of Animal-Source Foods (ASFs). Studies that link ML with HACCP monitoring in ASFs are limited. The present review provides an overview of ML, feature extraction, and selection algorithms employed for food safety. Several non-destructive techniques are presented, including spectroscopic methods, smartphone-based sensors, paper chromogenic arrays, machine vision, and hyperspectral imaging combined with ML algorithms. Prospects include enhancing predictive models for food safety with the development of hybrid Artificial Intelligence (AI) models and the automation of quality control processes using AI-driven computer vision, which could revolutionize food safety inspections. However, handling conceivable inclinations in AI models is vital to guaranteeing reasonable and exact hazard assessments in an assortment of nourishment generation . Moreover, moving forward, the interpretability of ML models will make them more straightforward and dependable. Conclusively, applying ML algorithms allows real-time monitoring and predictive analytics and can significantly reduce the risks associated with ASF consumption.",https://www.mdpi.com/2304-8158/14/6/922
115,"Machine learning boosted design of ionic liquid-based deep eutectic solvents for CO
                    <sub>2</sub>
                    capture","Ruina Zhang, Guokai Cui, Guoxiong Zhan, Mengyi Ma, Xiaochun Zhang, Xiangping Zhang, Hanfeng Lu",2026,"Abstract

Artificial intelligence accelerates the design of ionic liquid-based deep eutectic solvents for efficient CO
                    2
                    capture, enabling prediction, screening, and interpretation through machine learning driven models.",https://pubs.rsc.org/gc/article-abstract/28/24/9959/1224023
116,Predicting hypertension and identifying most important factors among married women in Bangladesh using machine learning approach,"Novel Chandra Das, Probir Kumar Ghosh, Md. Alamgir Hossain, Uddip Acharjee Shuvo, Nipa Rani Talukder, Fatema Khatun, Mohammad Ziaul Islam Chowdhury",2025,"Abstract
Introduction
Hypertension is a leading contributor to maternal and cardiometabolic morbidity in Bangladesh. We developed and interpreted machine-learning (ML) models to predict hypertension and rank associated factors among married women with the goal of informing targeted screening and policy in low-resource .

Methods
We analyzed 4,253 married women from the nationally representative BDHS 2017–18 survey (hypertension prevalence: 23.1%). Twelve ML algorithms were trained under six class-balancing strategies with hyperparameters tuned via random search. Validation used a hold-out test set (80/20) and repeated stratified k-fold cross-validation; bootstrap confidence intervals were estimated for the selected model. Model performance was compared with parametric and non-parametric tests. To interpret results, SHAP was used to rank the top 20 predictors and visualize feature effects. Models quantify associations rather than causation.

Results
The Extra Trees classifier with SMOTE+ENN achieved the best discrimination (F1 = 0.94; AUC-PR = 0.95; ROC-AUC = 0.95). Compared with the original imbalanced training, minority-class detection improved substantially (Extra Trees F1 increased from 0.08 to 0.94; recall from 0.04 to 0.95) while accuracy and ROC-AUC remained relatively stable across samplers. Statistical testing favored SMOTE+ENN for recall, F1, G-mean and AUC-PR. SHAP identified age, parity, recent births, contraceptive use, spousal education and BMI as key predictors. Younger age (<35 years) and normal/underweight status were protective, while parity ≥2–3, husbands’ age ≥ 40 years and overweight/obesity increased risk.

Conclusions
An interpretable ensemble model built primarily on sociodemographic and behavioral variables supplemented by limited biometric markers (BMI, glucose) can accurately flag hypertensive risk among married women in Bangladesh. Findings support programmatic integration of risk scores into eRegistries, routine blood pressure checks in family planning and postpartum visits, husband-focused education/SMS interventions and prioritization of high-parity households in high-risk regions. External validation on BDHS-2022 is planned to assess generalizability.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335442
117,Machine Learning in Healthcare Analytics: A State-of-the-Art Review,"Surajit Das, Samaleswari P. Nayak, Biswajit Sahoo, Sarat Chandra Nayak",04 April 2024,"Abstract
The use of machine learning (ML) models have become a crucial factor in the growing field of healthcare, ushering in a new era of medical research and diagnosis. This study rigorously reviews research publications published in reputable journals during the last five years. The pace and dynamic nature of machine learning in the healthcare domains demonstrated by the arduous criteria, which are used to sort through these articles. Disease-centric analysis uncovered a wide range of deep learning and machine learning models which are designed to address particular medical problems. Convolutional neural networks (CNNs), one of the most complex deep learning architectures, coexist with more conventional statistical models like logistic regression and support vector machines. CNNs are particularly prominent when it comes to disorders that need picture processing, which highlights the significant influence of deep learning in deciphering complex medical patterns. The popularity of ensemble methods, such as Random Forest, Gradient Boosting, and AdaBoost, indicates that their ability to combine predictive capability and strengthen model resilience is well acknowledged. Hybrid techniques, which integrate the advantages of many models, provide novel approaches to tackle distinct healthcare problems. This research also sheds light on a nuanced approach for model selection, wherein deep learning models performs well with huge datasets and image analysis, while statistical and ensemble models provides better results with numerical and categorical data. The adaptability needed in healthcare analytics is shown by hybrid models, which frequently combine standard models for classification with deep learning for feature extraction. The present review can endow problems related to ML in healthcare domain, possible solutions, potential directions and some knowledge to the researchers working in this field.",https://link.springer.com/article/10.1007/s11831-024-10098-3
118,Machine learning based model for the early detection of Gestational Diabetes Mellitus,"Hesham Zaky, Eleni Fthenou, Luma Srour, Thomas Farrell, Mohammed Bashir, Nady El Hajj, Tanvir Alam",13 March 2025,"Abstract

Background
Gestational Diabetes Mellitus (GDM) is one of the most common medical complications during pregnancy. In the Gulf region, the prevalence of GDM is higher than in other parts of the world. Thus, there is a need for the early detection of GDM to avoid critical health conditions in newborns and post-pregnancy complexities of mothers.

Methods
In this article, we propose a machine learning (ML)-based techniques for early detection of GDM. For this purpose, we considered clinical measurements taken during the first trimester to predict the onset of GDM in the second trimester.

Results
The proposed ensemble-based model achieved high accuracy in predicting the onset of GDM with around 89% accuracy using only the first trimester data. We confirmed biomarkers, i.e., a history of high glucose level/diabetes, insulin and cholesterol, which align with the previous studies. Moreover, we proposed potential novel biomarkers such as HbA1C %, Glucose, MCH, NT pro-BNP, HOMA-IR- (22.5 Scale), HOMA-IR- (405 Scale), Magnesium, Uric Acid. C-Peptide, Triglyceride, Urea, Chloride, Fibrinogen, MCHC, ALT, family history of Diabetes, Vit B12, TSH, Potassium, Alk Phos, FT4, Homocysteine Plasma LC-MSMS, Monocyte Auto.

Conclusion
We believe our findings will complement the current clinical practice of GDM diagnosis at an early stage of pregnancy, leading toward minimizing its burden on the healthcare system.Source code is available in GitHub at: https://github.com/H-Zaky/GD.git",https://link.springer.com/article/10.1186/s12911-025-02947-3
113,OA Identification of Key Features Pivotal to the Characteristics and Functions of Gut Bacteria Taxa through Machine Learning Methods,"ZhanDong Li, QingLan Ma, Hao Li, Lin Lu, Lei Chen, Wei Guo, KaiYan Feng, Tao Huang, Yu-Dong Cai",2025,"Abstract

Background Gut bacteria critically influence digestion, facilitate the breakdown of complex food substances, aid in essential nutrient synthesis, and contribute to immune system balance. However, current knowledge regarding intestinal bacteria remains insufficient. 

Objective This study aims to discover essential differences for different intestinal bacteria. 

Methods This study was conducted by investigating a total of 1478 gut bacterial samples comprising 235 Actinobacteria, 447 Bacteroidetes, and 796 Firmicutes, by utilizing sophisticated machine learning algorithms. By building on the dataset provided by Chen et al., we engaged sophisticated machine learning techniques to further investigate and analyze the gut bacterial samples. Each sample in the dataset was described by 993 unique features associated with gut bacteria, including 342 features annotated by the Antibiotic Resistance Genes Database, Comprehensive Antibiotic Research Database, Kyoto Encyclopedia of Genes and Genomes, and Virulence Factors of Pathogenic Bacteria. We employed incremental feature selection methods within a computational framework to identify the optimal features for classification. 

Results Eleven feature ranking algorithms selected several key features as pivotal to the characteristics and functions of gut bacteria. These features appear to facilitate the identification of specific gut bacterial species. Additionally, we established quantitative rules for identifying Actinobacteria, Bacteroidetes, and Firmicutes. 

Conclusion This research underscores the significant potential of machine learning in studying gut microbes and enhances our understanding of the multifaceted roles of gut bacteria.",https://www.benthamdirect.com/content/journals/cgt/10.2174/0115665232367064250630202337
114,Interpretable machine learning approach for predicting COVID-19 risk status of an individual,A Onoja,2021,https://www.academia.edu/download/67825250/edited_manuscript_Onoja_Mary_Ayesan_reviewed_corrected.pdf,https://www.academia.edu/download/67825250/edited_manuscript_Onoja_Mary_Ayesan_reviewed_corrected.pdf
119,onlinelibrary.wiley.com,,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1155/acis/8889093,https://onlinelibrary.wiley.com/doi/abs/10.1155/acis/8889093
120,Artificial Intelligence Models for Forecasting Mosquito-Borne Viral Diseases in Human Populations: A Global Systematic Review and Comparative Performance …,"F Pennisi, A Pinto, F Borgonovo…",2026,https://www.research.unipd.it/bitstream/11577/3589500/1/make-08-00015-v2%20%281%29.pdf,https://www.research.unipd.it/bitstream/11577/3589500/1/make-08-00015-v2%20%281%29.pdf
121,Machine Learning-Based Identification of Candidate Serum miRNA Features for Pan-Cancer and Cancer Type Classification,"Kaiyan Feng, Yusheng Bao, Jingxin Ren, Wei Guo, Deling Wang, Tao Huang, Yu-Dong Cai",20 May 2026,"Abstract

MicroRNA (miRNA) regulation plays a pivotal role in intracellular gene expression. Analysis of miRNA profiles can provide critical insights into disease states. As cancer-associated molecules reported in previous studies, miRNAs may serve as candidate classificatory features for exploratory cancer classification. This research analyzed serum miRNA data from patients with 13 solid cancer types and individuals without cancer. The study comprised two distinct analyses: first, stratifying the dataset into cancer and non-cancer groups to identify miRNAs differentially represented in cancer patients; and second, subdividing the cancer patient data into 13 predefined solid-cancer types to identify candidate miRNA features that discriminate among these cancer types. We employed seven feature-ranking algorithms to evaluate miRNA contributions in both analyses and generate feature lists. Each list was examined using an incremental feature selection method to extract essential miRNAs and build good-performing classification models. Several candidate miRNAs were identified for distinguishing pan-cancer samples from non-cancer ones: miR-4783-3p has been linked to associated with the regulation of endocrine cell differentiation, and miR-663a has been reported in hepatocellular carcinoma and thyroid carcinoma. The analysis also highlighted miRNAs that differentiate solid cancer types, including miR-629-3p, reported to be upregulated in lung and breast cancer, and miR-6087, reported to be downregulated in osteosarcoma and bladder cancer.",https://www.mdpi.com/2075-1729/16/5/850
115,"Machine learning boosted design of ionic liquid-based deep eutectic solvents for CO
                    <sub>2</sub>
                    capture","Ruina Zhang, Guokai Cui, Guoxiong Zhan, Mengyi Ma, Xiaochun Zhang, Xiangping Zhang, Hanfeng Lu",2026,"Abstract

Artificial intelligence accelerates the design of ionic liquid-based deep eutectic solvents for efficient CO
                    2
                    capture, enabling prediction, screening, and interpretation through machine learning driven models.",https://pubs.rsc.org/gc/article-abstract/28/24/9959/1224023
116,Predicting hypertension and identifying most important factors among married women in Bangladesh using machine learning approach,"Novel Chandra Das, Probir Kumar Ghosh, Md. Alamgir Hossain, Uddip Acharjee Shuvo, Nipa Rani Talukder, Fatema Khatun, Mohammad Ziaul Islam Chowdhury",2025,"Abstract
Introduction
Hypertension is a leading contributor to maternal and cardiometabolic morbidity in Bangladesh. We developed and interpreted machine-learning (ML) models to predict hypertension and rank associated factors among married women with the goal of informing targeted screening and policy in low-resource .

Methods
We analyzed 4,253 married women from the nationally representative BDHS 2017–18 survey (hypertension prevalence: 23.1%). Twelve ML algorithms were trained under six class-balancing strategies with hyperparameters tuned via random search. Validation used a hold-out test set (80/20) and repeated stratified k-fold cross-validation; bootstrap confidence intervals were estimated for the selected model. Model performance was compared with parametric and non-parametric tests. To interpret results, SHAP was used to rank the top 20 predictors and visualize feature effects. Models quantify associations rather than causation.

Results
The Extra Trees classifier with SMOTE+ENN achieved the best discrimination (F1 = 0.94; AUC-PR = 0.95; ROC-AUC = 0.95). Compared with the original imbalanced training, minority-class detection improved substantially (Extra Trees F1 increased from 0.08 to 0.94; recall from 0.04 to 0.95) while accuracy and ROC-AUC remained relatively stable across samplers. Statistical testing favored SMOTE+ENN for recall, F1, G-mean and AUC-PR. SHAP identified age, parity, recent births, contraceptive use, spousal education and BMI as key predictors. Younger age (<35 years) and normal/underweight status were protective, while parity ≥2–3, husbands’ age ≥ 40 years and overweight/obesity increased risk.

Conclusions
An interpretable ensemble model built primarily on sociodemographic and behavioral variables supplemented by limited biometric markers (BMI, glucose) can accurately flag hypertensive risk among married women in Bangladesh. Findings support programmatic integration of risk scores into eRegistries, routine blood pressure checks in family planning and postpartum visits, husband-focused education/SMS interventions and prioritization of high-parity households in high-risk regions. External validation on BDHS-2022 is planned to assess generalizability.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335442
117,Machine Learning in Healthcare Analytics: A State-of-the-Art Review,"Surajit Das, Samaleswari P. Nayak, Biswajit Sahoo, Sarat Chandra Nayak",04 April 2024,"Abstract
The use of machine learning (ML) models have become a crucial factor in the growing field of healthcare, ushering in a new era of medical research and diagnosis. This study rigorously reviews research publications published in reputable journals during the last five years. The pace and dynamic nature of machine learning in the healthcare domains demonstrated by the arduous criteria, which are used to sort through these articles. Disease-centric analysis uncovered a wide range of deep learning and machine learning models which are designed to address particular medical problems. Convolutional neural networks (CNNs), one of the most complex deep learning architectures, coexist with more conventional statistical models like logistic regression and support vector machines. CNNs are particularly prominent when it comes to disorders that need picture processing, which highlights the significant influence of deep learning in deciphering complex medical patterns. The popularity of ensemble methods, such as Random Forest, Gradient Boosting, and AdaBoost, indicates that their ability to combine predictive capability and strengthen model resilience is well acknowledged. Hybrid techniques, which integrate the advantages of many models, provide novel approaches to tackle distinct healthcare problems. This research also sheds light on a nuanced approach for model selection, wherein deep learning models performs well with huge datasets and image analysis, while statistical and ensemble models provides better results with numerical and categorical data. The adaptability needed in healthcare analytics is shown by hybrid models, which frequently combine standard models for classification with deep learning for feature extraction. The present review can endow problems related to ML in healthcare domain, possible solutions, potential directions and some knowledge to the researchers working in this field.",https://link.springer.com/article/10.1007/s11831-024-10098-3
118,Machine learning based model for the early detection of Gestational Diabetes Mellitus,"Hesham Zaky, Eleni Fthenou, Luma Srour, Thomas Farrell, Mohammed Bashir, Nady El Hajj, Tanvir Alam",13 March 2025,"Abstract

Background
Gestational Diabetes Mellitus (GDM) is one of the most common medical complications during pregnancy. In the Gulf region, the prevalence of GDM is higher than in other parts of the world. Thus, there is a need for the early detection of GDM to avoid critical health conditions in newborns and post-pregnancy complexities of mothers.

Methods
In this article, we propose a machine learning (ML)-based techniques for early detection of GDM. For this purpose, we considered clinical measurements taken during the first trimester to predict the onset of GDM in the second trimester.

Results
The proposed ensemble-based model achieved high accuracy in predicting the onset of GDM with around 89% accuracy using only the first trimester data. We confirmed biomarkers, i.e., a history of high glucose level/diabetes, insulin and cholesterol, which align with the previous studies. Moreover, we proposed potential novel biomarkers such as HbA1C %, Glucose, MCH, NT pro-BNP, HOMA-IR- (22.5 Scale), HOMA-IR- (405 Scale), Magnesium, Uric Acid. C-Peptide, Triglyceride, Urea, Chloride, Fibrinogen, MCHC, ALT, family history of Diabetes, Vit B12, TSH, Potassium, Alk Phos, FT4, Homocysteine Plasma LC-MSMS, Monocyte Auto.

Conclusion
We believe our findings will complement the current clinical practice of GDM diagnosis at an early stage of pregnancy, leading toward minimizing its burden on the healthcare system.Source code is available in GitHub at: https://github.com/H-Zaky/GD.git",https://link.springer.com/article/10.1186/s12911-025-02947-3
122,Machine Learning Crime Prediction Models and the Gap Between Research and Implementation: A Systematic Review,"Ricardo Huamantingo, Miguel Cano-Lengua, Ciro Rodriguez",2025,"Abstract

A crime is an illegal or violent act committed by one individual against another. The increasing crime rate has become a major concern as it negatively affects people's quality of life and generates significant social and economic costs. This study aims to identify the most widely used machine learning (ML) models for crime prediction, determine evaluation metrics for assessing model performance, and analyze key data characteristics to enhance real-world implementation. The study follows the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodology. A search string was formulated using the population, intervention, comparison, and outcomes (PICO) framework and applied to the Scopus and Web of Science database. After applying eligibility criteria, 50 articles were selected for in depth analysis. The findings indicate that the most prominent ML models include extreme gradient boosting (XGBoost), random forest (RF), gradient boosting decision trees (GBDT), and auto-regressive integrated moving average (ARIMA), as well as deep learning models such as long short-term memory (LSTM), which showed high performance in dynamic urban environments. The most relevant metrics for classification are accuracy, recall, F1-score, precision, and area under the curve (AUC), while for regression, mean absolute error (MAE), root mean squared error (RMSE), and R-squared (R2 ) are preferred. Key data features include date, time, age, gender, education level, location, and coordinates. Additionally, integrating climate and temperature data is recommended. This study provides a structured analysis of crime prediction models and proposes an architecture for their development and deployment, offering valuable insights for future research and practical applications.",https://kijoms.uokerbala.edu.iq/home/vol11/iss3/11/
123,onlinelibrary.wiley.com,,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1002/pon.70540,https://onlinelibrary.wiley.com/doi/abs/10.1002/pon.70540
124,"Lung Cancer Prediction Using Machine Learning on Structured Clinical Data: A Systematic Review of Diagnosis, Risk, and Survival Models","T Islam, S Asgar, S Mahmood",2025,https://www.preprints.org/manuscript/202512.0398,https://www.preprints.org/manuscript/202512.0398
119,onlinelibrary.wiley.com,,N/A,https://onlinelibrary.wiley.com/doi/abs/10.1155/acis/8889093,https://onlinelibrary.wiley.com/doi/abs/10.1155/acis/8889093
125,Accurate Cardiovascular Disease Prediction: Leveraging Opt_hpLGBM With Dual-Tier Feature Selection,"J. Jasmine Gabriel, L. Jani Anbarasi",2024,"Abstract

Reliable forecasting of cardiovascular disease (CVD) outcomes is crucial for efficient patient management. While machine learning (ML) holds promise for disease prediction, challenges arise, particularly with smaller clinical datasets. Feature engineering is essential in this context, as it involves analyzing missing values, managing outliers, and addressing multicollinearity. This process is key to identifying and eliminating unnecessary features from the dataset. To tackle this, a scalable ML based Dual-Tier feature selection framework called ANOVA Chi-Squared (AnoX2) is proposed, utilizing a hybrid statistical method. The framework integrates validation using five different ML classifiers with the selected features from AnoX2. The proposed model Opt_hpLGBM (Optuna hyperparameter tuned Light Gradient Boost Machine) along with AnoX2 feature selection exhibits outstanding performance across four publicly available datasets, consistently achieving remarkable accuracy. For instance, it achieves 94.87% accuracy in the Cleveland dataset with 8 features, 95.12% in the Statlog dataset with the same number of features, 92.81% accuracy with 7 features in the heart disease dataset, and an impressive 98.85% accuracy in the z-Alizadeh Sani dataset with 12 features. These results exceed current benchmarks, establishing it as an industry leader in terms of the number of features utilized, accuracy, precision, recall, F1 score, and log loss metrics. With its potential for early diagnosis and treatment, this innovative framework can transform healthcare, significantly reducing mortality rates associated with cardiovascular disease.",https://ieeexplore.ieee.org/abstract/document/10699320/
126,Advances in Cancer Through Machine Learning Models,"R Cosmina-Mihaela, A Stancu, AG Brezoi",2026,https://www.researchgate.net/profile/Adrian-Stancu-2/publication/401252841_Advances_in_Cancer_Through_Machine_Learning_Models/links/69a5c475c7bd2e79e78ac17f/Advances-in-Cancer-Through-Machine-Learning-Models.pdf,https://www.researchgate.net/profile/Adrian-Stancu-2/publication/401252841_Advances_in_Cancer_Through_Machine_Learning_Models/links/69a5c475c7bd2e79e78ac17f/Advances-in-Cancer-Through-Machine-Learning-Models.pdf
120,Artificial Intelligence Models for Forecasting Mosquito-Borne Viral Diseases in Human Populations: A Global Systematic Review and Comparative Performance …,"F Pennisi, A Pinto, F Borgonovo…",2026,https://www.research.unipd.it/bitstream/11577/3589500/1/make-08-00015-v2%20%281%29.pdf,https://www.research.unipd.it/bitstream/11577/3589500/1/make-08-00015-v2%20%281%29.pdf
121,Machine Learning-Based Identification of Candidate Serum miRNA Features for Pan-Cancer and Cancer Type Classification,"Kaiyan Feng, Yusheng Bao, Jingxin Ren, Wei Guo, Deling Wang, Tao Huang, Yu-Dong Cai",20 May 2026,"Abstract

MicroRNA (miRNA) regulation plays a pivotal role in intracellular gene expression. Analysis of miRNA profiles can provide critical insights into disease states. As cancer-associated molecules reported in previous studies, miRNAs may serve as candidate classificatory features for exploratory cancer classification. This research analyzed serum miRNA data from patients with 13 solid cancer types and individuals without cancer. The study comprised two distinct analyses: first, stratifying the dataset into cancer and non-cancer groups to identify miRNAs differentially represented in cancer patients; and second, subdividing the cancer patient data into 13 predefined solid-cancer types to identify candidate miRNA features that discriminate among these cancer types. We employed seven feature-ranking algorithms to evaluate miRNA contributions in both analyses and generate feature lists. Each list was examined using an incremental feature selection method to extract essential miRNAs and build good-performing classification models. Several candidate miRNAs were identified for distinguishing pan-cancer samples from non-cancer ones: miR-4783-3p has been linked to associated with the regulation of endocrine cell differentiation, and miR-663a has been reported in hepatocellular carcinoma and thyroid carcinoma. The analysis also highlighted miRNAs that differentiate solid cancer types, including miR-629-3p, reported to be upregulated in lung and breast cancer, and miR-6087, reported to be downregulated in osteosarcoma and bladder cancer.",https://www.mdpi.com/2075-1729/16/5/850
127,Gradient Boosted Trees on Transcriptomics: Diagnosis of Acute Myeloid Leukaemia,I Soulioti,2021,https://pergamos.lib.uoa.gr/uoa/dl/object/2963114/file.pdf,https://pergamos.lib.uoa.gr/uoa/dl/object/2963114/file.pdf
128,A Review of Neuro-ML Breakthroughs in Addressing Neurological Disorders,"Cosmina-Mihaela Rosca, Adrian Stancu",13 May 2025,"Abstract

This research aims to explore the interdisciplinary connection between the field of neurology and artificial intelligence (AI) through machine learning (ML) algorithms. The central objective is to evaluate the current state of research in the Neuro-ML field and identify gaps in the literature that require additional approaches. To achieve this objective, 10 analyses were introduced that analyze the distribution of articles based on keywords, countries, years, publishers, and ML algorithms used in the context of neurological diseases. Surveys were also conducted to identify the diseases most frequently studied through ML algorithms. Thus, it was found that Alzheimer’s disease (37 articles for Support Vector Regression—SVR; 31 for Random Forest—RF), Parkinson’s disease (46 articles for SVM and 48 for RF), and multiple sclerosis (9 articles for SVM) are the most studied diseases in the field of Neuro-ML. The study analyzes Alzheimer’s, Parkinson’s, and multiple sclerosis in detail by focusing on diagnosis. The overall results highlight an increase in researchers’ interest in applying ML in neurology, with models such as SVM (597 articles), Artificial Neural Network (525 articles), and RF (457 articles) being the most used. The results highlighted three major gaps: the underrepresentation of rare diseases, the lack of standardization in evaluating the performance of ML models, and the lack of exploration of algorithms with greater implementation difficulty, such as Extreme Gradient Boosting and Multilayer Perceptron. The value analysis of the performance metrics of ML models demonstrates the ability to correctly classify neuro-degenerative diseases, with high accuracy in some cases (for example, 97.46% accuracy in Alzheimer’s diagnosis), but there may still be improvements. Future directions include exploring rare diseases, investigating underutilized algorithms, and developing standardized protocols for evaluating the performance of ML models, which will facilitate the comparison of results across different studies.",https://www.mdpi.com/2076-3417/15/10/5442
129,Systematic review and topic classification of soft computing and machine learning in water resources management,"M Drogkoula, N Samaras, O Iatrellis, E Nathanail…",2025,https://link.springer.com/article/10.1007/s43621-025-01832-3,https://link.springer.com/article/10.1007/s43621-025-01832-3
130,Biological age threshold is associated with symptomatic knee osteoarthritis risk in chinese adults: Insights from machine learning analysis of a national cohort,"Fanyu Fu, Li Dong, Jiwei Lian, Chang Liu, Tingting Pang, Yunli Wang, Peng Liu, Yufeng Wang",2025,"Abstract

Background
Symptomatic knee osteoarthritis (KOA) imposes a substantial global health and economic burden. Although chronological age (CA) is a key risk factor, it poorly reflects interindividual aging heterogeneity. Biological age (BA), which is quantified using blood biomarkers that reflect systemic physiological integrity, is a superior measure of functional decline and molecular aging. Mechanistically, BA may be linked to KOA pathogenesis via cellular senescence and senescence-associated secretory phenotype (SASP).

Objective
This study aimed to explore the association between BA and symptomatic KOA in a nationally representative Chinese cohort and to evaluate BA’s utility of BA in enhancing KOA risk assessment.

Methods
We conducted a cross-sectional analysis using the 2011/2015 China Health and Retirement Longitudinal Study (CHARLS) data of 1,000 participants (≥45 years old) with complete BA and symptomatic KOA data (defined as self-reported physician-diagnosed osteoarthritis with concurrent knee pain). BA was calculated using the Klemera-Doubal method (KDM) and eight serum biomarkers. Associations were assessed using multivariable-adjusted logistic regression, restricted cubic splines (RCS), and subgroup analyses. Six machine learning models (including XGBoost and LightGBM) were used to distinguish cases of symptomatic KOA, with SHAP interpreting the optimal model.

Results
Participants with symptomatic KOA had a significantly higher mean BA than those without (59.97 vs. 58.76 years, p < 0.001). After multivariable adjustment, each 1-year BA increase was associated with 1.23% higher symptomatic KOA odds (OR=1.0123, 95% CI:1.0049–1.0197, p = 0.0010). Compared with the lowest BA quartile (Q1), the highest quartiles (Q3 and Q4) showed a significantly elevated symptomatic KOA risk (Q3: OR=1.4655, 95% CI:1.1989–1.7940, p = 0.0002; Q4: OR=1.4519, 95% CI:1.1755–1.7956, p = 0.0001). RCS analysis revealed a non-linear relationship, with symptomatic KOA risk accelerating beyond approximately 66.7 years (p for non-linearity = 0.013). Subgroup analyses demonstrated consistent results. The XGBoost model demonstrated the highest discriminative performance (AUROC = 0.9078), with SHAP identifying BA as the most influential feature.

Conclusion
BA is strongly and non-linearly associated with symptomatic KOA risk in Chinese adults, accelerating beyond a critical threshold. BA assessment may enhance KOA risk stratification and could inform future interventional studies. However, the cross-sectional design of this study precludes causal inferences. Longitudinal studies are required to establish temporal relationships and explore potential causal associations.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0335250
131,Integration of Machine Learning and Remote Sensing for Water Quality Monitoring and Prediction: A Review,"Shashank Mohan, Brajesh Kumar, A. Pouyan Nejadhashemi",26 January 2025,"Abstract

Aquatic ecosystems play a crucial role in sustaining life and supporting key green and blue economic sectors globally. However, the growing population and increasing anthropogenic pressures are significantly degrading terrestrial water resources, threatening their ability to provide essential socioeconomic services. To safeguard these ecosystems and their benefits, it is critical to continuously monitor changes in water quality. Remote sensing technologies, which offer high-resolution spatial and temporal data over large geographic areas, including surface water bodies, have become indispensable for these monitoring efforts. They enable the observation of various physical, chemical, and biological water quality indicators, which are essential for assessing ecosystem health. Machine learning algorithms are well suited to handle the complex and often non-linear relationships between remote sensing data and water quality parameters. By integrating remote sensing with machine learning techniques, it is possible to develop predictive models that enhance the accuracy and efficiency of water quality assessments. These models can identify and predict trends in water quality, supporting timely interventions to protect aquatic ecosystems. This paper provides a thorough review of the major remote sensing techniques for estimating water quality indicators (e.g., chlorophyll-a, turbidity, temperature, total nitrogen and total phosphorous, dissolved organic, total suspended solids, dissolved oxygen, and hydrogen power). It examines how machine learning can improve water quality assessments. Additionally, it identifies key research gaps in current methodologies and suggests future directions to address challenges in water quality monitoring, aiming to improve the precision and scope of these critical efforts.",https://www.mdpi.com/2071-1050/17/3/998
132,https://www.cureus.com/articles/308264-predictive-analytics-in-heart-failure-risk-readmission-and-mortality-prediction-a-review.pdf,N/A,N/A,https://www.cureus.com/articles/308264-predictive-analytics-in-heart-failure-risk-readmission-and-mortality-prediction-a-review.pdf,https://www.cureus.com/articles/308264-predictive-analytics-in-heart-failure-risk-readmission-and-mortality-prediction-a-review.pdf
