SL NO.,Title,Authors,Published Year,Abstract,Paper Link
188,Using machine learning methods to predict all-cause somatic hospitalizations in adults: A systematic review,"Mohsen Askar, Masoud Tafavvoghi, Lars Småbrekke, Lars Ailo Bongo, Kristian Svendsen",2024,"Abstract
Aim
In this review, we investigated how Machine Learning (ML) was utilized to predict all-cause somatic hospital admissions and readmissions in adults.

Methods
We searched eight databases (PubMed, Embase, Web of Science, CINAHL, ProQuest, OpenGrey, WorldCat, and MedNar) from their inception date to October 2023, and included records that predicted all-cause somatic hospital admissions and readmissions of adults using ML methodology. We used the CHARMS checklist for data extraction, PROBAST for bias and applicability assessment, and TRIPOD for reporting quality.

Results
We screened 7,543 studies of which 163 full-text records were read and 116 met the review inclusion criteria. Among these, 45 predicted admission, 70 predicted readmission, and one study predicted both. There was a substantial variety in the types of datasets, algorithms, features, data preprocessing steps, evaluation, and validation methods. The most used types of features were demographics, diagnoses, vital signs, and laboratory tests. Area Under the ROC curve (AUC) was the most used evaluation metric. Models trained using boosting tree-based algorithms often performed better compared to others. ML algorithms commonly outperformed traditional regression techniques. Sixteen studies used Natural language processing (NLP) of clinical  for prediction, all studies yielded good results. The overall adherence to reporting quality was poor in the review studies. Only five percent of models were implemented in clinical practice. The most frequently inadequately addressed methodological aspects were: providing model interpretations on the individual patient level, full code availability, performing external validation, calibrating models, and handling class imbalance.

Conclusion
This review has identified considerable concerns regarding methodological issues and reporting quality in studies investigating ML to predict hospitalizations. To ensure the acceptability of these models in clinical , it is crucial to improve the quality of future studies.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0309175
189,Customer churn prediction from Internet banking transactions data using an ensemble meta-classifier algorithm,F Ehsani,2022,"Abstract With the advancement of electronic markets platforms, customers show different purchase behaviors. Since they have a wide range of choices and low exit barriers, customer movement from one digital store to another has become a natural problem for every business. Customers are the most valuable property of every enterprise. Thus, Suppliers have to tie a strong relationship with their customers to prevent their leaving by providing the most appropriate produces and services based on their desires and trying to satisfy them. Customer churn prediction (CCP) is one of the customer relationship management (CRM) strategies to estimate the probability of their abandonment. Marketers use CCP to attract visitors, engage them in websites activities, convert them into customers, and retain them for a long time. Internet banking transactions dataset is a dependable resource to analyze customer interactions and their churn behaviors. Transactions data scrutinizes the customer’s specifications and their payment details. In this paper, we introduced a meta-classifier algorithm to predict customer churn behavior according to the transactions data. We applied the four most used supervised classification algorithms. Then, we improved their performance by hyperparameters and tuning. We also performed RFECV feature selection to extract and rank the most critical variables. The experimental results represent that combining various machine learning developed algorithms in a funnel of meta-classifier can extract the highest prediction accuracy.",https://www.academia.edu/download/120482960/latest.pdf
190,A Review of Analysing Heavy Metal Pollution with Data Science Approaches,"Lina Gozali, Christyfianie Elva Angelica",17-Jan-26,"Abstract
The heavy metal pollution in water and soil has become a pressing environmental issue, posing risks to ecosystems and human health. Traditional monitoring methods are often costly and time-consuming, leading to the adopting of data science techniques for more efficient and accurate assessments. This review examines recent machine learning and predictive modelling studies to analyse heavy metal contamination. Machine learning models have been applied to predict contamination levels, assess environmental risk factors, and identify high-risk pollution zones. Additionally, remote sensing and probabilistic models have improved large-scale monitoring capabilities. While these advancements enhance contamination forecasting, challenges remain regarding model interpretability, computational efficiency, and data quality. Future research should focus on hybrid AI models, real-time monitoring systems, and standardised performance benchmarks to improve prediction accuracy and environmental decision-making. By integrating data science with environmental management, this study highlights the potential of predictive analytics in mitigating heavy metal pollution and fostering sustainable development.",https://link.springer.com/chapter/10.1007/978-3-032-13177-5_23
191,A quick appraisal of Machine learning techniques in different aspects of rice cultivation,"Abhishek Singh, Nikhil Kumar Singh",2026,"Abstract

Rice is the most important cereal crop in the world, consumed by more than half of the global population. With the projected world population reaching around 9&nbsp;billion by 2050, the cultivation of the rice crop becomes important for the food security of the world. Machine learning methods ...",https://www.researchsquare.com/article/rs-9948244/latest
192,Machine Learning Parameters of Optimally Tuned Range-Separated Hybrid Functionals for Transition Metal Complexes,"Xiang-Yang Liu, Qing-Xin Xiang, Sheng-Rui Wang, Dongyi Xiao, Wei-Hai Fang, Ganglong Cui",2025,"Abstract

In this work, we present a machine learning (ML) approach for predicting the optimal range separation parameters in transition metal complexes (TMCs), aiming to reduce the computational cost associated with optimally tuned range-separated hybrid (OT-RSH) functionals while preserving their accuracy. A data set containing 4380 TMCs was constructed by screening the tmQM database, with each TMC represented by a 62 087-dimensional multiple-fingerprint feature (MFF) vector and labeled with its optimally tuned range separation parameter. Multiple regression models were applied to train the prediction model, and the support vector machine (SVM) model yielded the best performance. The resulting machine-learned functional, ML-LC-PBE0*, achieves ionization potentials comparable to those obtained from fully tuned LC-PBE0* calculations but at a reduced computational cost. Furthermore, comparisons with DLPNO-CCSD(T) reference values confirm that ML-LC-PBE0* consistently outperforms conventional global and fixed parameter RSH functionals. This work provides an efficient and accurate framework for high-throughput screening and electronic structure prediction of TMCs, paving the way for the discovery of advanced TMC-based optoelectronic materials.",https://pubs.acs.org/doi/abs/10.1021/acs.jpclett.5c01940
193,UK Biobank-centric advances in brain age prediction: a comprehensive review,"Yanxue Li, Hongjian Gao, Lan Lin, Yutong Wu, Xinyu Zhu",29-Sep-25,"Abstract

With the accelerating global population aging, establishing effective brain health assessment systems has emerged as a critical challenge in public health. Neuroimaging-based brain age prediction, serving as a potential biomarker for evaluating individual brain aging, has achieved remarkable breakthroughs in recent years. However, the accuracy of current brain age prediction models remains substantially dependent on the quality and representativeness of their training datasets. Consequently, constructing larger-scale, population-representative, and high-quality datasets is essential for enhancing the reliability of brain age prediction. This systematic review synthesizes findings from 70 peer-reviewed studies (2014–2024) that utilized the UK Biobank (UKB) for brain age prediction, focusing on paradigm-shifting advancements in machine learning and deep learning algorithms. We comprehensively analyze influential factors associated with brain age and their clinical implications, while critically evaluating the unique advantages and inherent limitations of the UKB dataset in this research domain. Furthermore, this work proposes future research directions to address existing methodological gaps and enhance clinical applicability. This study systematically elucidates the advancements in brain age prediction research based on the UKB dataset, aiming to promote deeper exploration in this field and provide theoretical foundations and practical guidance for the precise diagnosis and treatment of neurodegenerative diseases, as well as the formulation of individualized intervention strategies.",https://www.degruyterbrill.com/document/doi/10.1515/revneuro-2025-0055/html
194,Bridging Pedology and Data Science: Machine Learning Applications for Soil Organic Matter and Carbon Analysis,"Aria Dolatabadian, Khalil Kariman",29-May-26,"Abstract

Accurate quantification of soil organic matter (SOM) and carbon content is critical for understanding climate change, evaluating soil health, supporting agricultural sustainability, and implementing carbon sequestration policies. For decades, classical analytical and statistical approaches have underpinned soil carbon assessment, but the emergence of machine learning (ML) techniques offers new opportunities to improve prediction accuracy, scalability, and efficiency. This review summarises the current knowledge on classical and ML-based approaches for analysing SOM and carbon content. We examine the strengths, limitations, and practical applications of conventional methods, including wet chemistry, dry combustion analysis, and geostatistical techniques, alongside modern ML approaches such as random forests (RFs), gradient boosting machines, neural networks, deep learning, and hybrid ML-geostatistical frameworks. Special emphasis is placed on comparative analysis across dimensions, including prediction accuracy, computational requirements, data availability needs, interpretability, uncertainty quantification, and scalability. Soil carbon stocks and dynamics are tightly regulated by indigenous soil microbial communities and their management-driven alterations, creating substantial biologically driven variation that remains difficult to capture with current modelling approaches. We therefore explore hybrid approaches that integrate classical pedological knowledge with ML capabilities. Finally, we discuss emerging challenges, future research directions, and the complementary role these approaches play in advancing soil carbon science. This review concludes that neither classical nor ML approaches alone are sufficient for accurate carbon assessment across diverse scales and environments. Instead, their strategic integration, combining classical mechanistic grounding alongside machine learning’s scalability, represents the most promising path toward realistic soil carbon evaluation for climate change mitigation and agricultural sustainability.",https://www.mdpi.com/2076-3417/16/11/5412
195,"Smart air quality assessment in Ghaziabad, India: machine learning approaches for AQI forecasting and classification","I. Dawar, V. Singh, T. Singhal, M. Bhushan, K. Agarwal",21-Apr-26,"Abstract
Air pollution poses a significant threat to public health and environmental sustainability, particularly in urban areas with rapid industrialization and high vehicular emissions. This study focuses on Ghaziabad, one of India’s most polluted cities, to predict the Air Quality Index (AQI) using hourly environmental parameters such as pollutant concentrations, temperature, wind speed, and humidity, recorded from three monitoring stations. The primary objective is to evaluate AQI prediction models that can assist policymakers and urban planners in taking timely measures to improve air quality and public health. Several Machine Learning (ML) algorithms are used for AQI prediction, including Linear Regression (LR), Random Forest Regressor (RFR), Long Short-Term Memory (LSTM), and Extreme Gradient Boosting Regressor (XGBR). Among these, XGBR delivered the best performance, achieving a Mean Absolute Error of 2.536, a Mean Absolute Percentage Error of 1.62%, a Root Mean Square Error of 5.495, and an R2 score of 0.997, indicating highly accurate predictions. Furthermore, these AQI values were classified into various categories using different models, in which the XGB classifier performed the best, achieving an accuracy of 97.62%. The findings demonstrate the efficacy of ML models in forecasting AQI with high precision using environmental variables. This research contributes directly to the United Nations Sustainable Development Goal (SDG) 11: Sustainable Cities and Communities by promoting data-driven urban air quality management. Integrating such predictive models into smart city frameworks is recommended to facilitate real-time air quality monitoring and proactive environmental policymaking.",https://link.springer.com/article/10.1007/s13762-026-07174-5
196,onlinelibrary.wiley.com,BB Bilgilioğlu,2026,"Abstract ABSTRACT
Land subsidence is an increasing environmental hazard in semi‐arid agricultural basins where intensive groundwater abstraction, compressible geological units, and expanding land‐use pressures interact. This study presents a PS‐InSAR and machine‐learning‐based framework for land subsidence susceptibility mapping in the Çumra District of the Konya Closed Basin, Türkiye. A time‐series PS‐InSAR analysis was conducted using 172 Sentinel‐1A ascending images acquired between 2018 and 2023, and 11,718 high‐confidence subsidence points were extracted as the inventory dataset. Fourteen conditioning factors representing topographic, hydrogeological, lithological, environmental, and anthropogenic controls were integrated with eight tree‐based ensemble models optimized using Optuna. Random Forest achieved the highest overall performance, with an accuracy of 0.9745, precision of 0.9562, recall of 0.9945, F1 score of 0.9750, and Cohen's Kappa of 0.9490, followed by Extremely Randomized Trees and XGBoost. Class‐specific validation also confirmed the reliability of Random Forest in delineating the Very High Susceptibility class. Variable importance analysis identified land use, proximity to settlements, well density, and groundwater level change as the dominant predictors, emphasizing the role of groundwater‐related anthropogenic pressure in subsidence development. The resulting susceptibility maps provide a spatial decision‐support basis for groundwater management, land use planning, and subsidence risk mitigation.",https://onlinelibrary.wiley.com/doi/abs/10.1111/tgis.70317
197,Design of Threat Detection Model for IoT-Enabled Smart Environment,"Anchal Dahiya, Pooja Mittal",2023,"Abstract

In an era marked by the pervasive integration of Internet of Things (IoT) technology into diverse sectors, safeguarding the security of IoT-enabled smart environments has emerged as a paramount concern. This paper presents a threat detection model specifically designed for IoT-enabled smart environments. A “DS2OS” dataset is utilized for evaluation, and machine learning techniques, including SVM, DT, RFT, and XGBT, are employed. The results show high accuracy, precision, and recall for each technique. Furthermore, a proposed voting classifier achieves exceptional performance with a 99% accuracy rate, contributing to improved security and safety in IoT-enabled environments. By providing an advanced threat detection mechanism, this model contributes to enhancing the security and reliability, ultimately promoting the widespread adoption and utilization of IoT technology for societal benefit.",https://ieeexplore.ieee.org/abstract/document/10541469/
198,Advances in Traffic Congestion Prediction: An Overview of Emerging Techniques and Methods,"Aristeidis Mystakidis, Paraskevas Koukaras, Christos Tjortjis",7-Feb-25,"Abstract The ongoing increase in urban populations has resulted in the enduring issue of traffic congestion, adversely affecting the quality of life, including commute duration, road safety, and local air quality. Consequently, recognizing and forecasting underlying traffic congestion patterns have become essential, with Traffic Congestion Prediction (TCP) emerging as an increasingly significant area of study. Advancements in Machine Learning (ML) and Artificial Intelligence (AI), as well as improvements in Internet of Things (IoT) sensor technologies have made TCP research crucial to the development of Intelligent Transportation Systems (ITSs). This review examines advanced TCP, emphasizing innovative forecasting methods and technologies and their importance for the ITS sector. This paper provides an overview of statistical, ML, Deep Learning (DL) approaches, and their ensembles that compose TCP. We examine several forecasting methods and discuss relative and absolute evaluation metrics from regression and classification perspectives. Finally, we present an overall step-by-step standard methodology that is often utilized in TCP problems. By combining these elements, this review highlights critical advancements and ongoing challenges in TCP, providing robust and detailed information for state-of-the-art ITS solutions.",https://www.mdpi.com/2624-6511/8/1/25
199,Machine learning for applied economic analysis: Gaining practical insights,"M Smith, F Alvarez",2025,"Abstract

Machine learning (ML) is becoming an essential tool in economics, offering powerful methods for prediction, classification, and decision-making. This paper provides an intuitive introduction to two widely used families of ML models: tree-based methods (decision trees, Random Forests, boosting techniques) and neural networks. The goal is to equip practitioners with a clear understanding of how these models work, their strengths and limitations, and their applications in economics. Additionally, we briefly discuss some other methods, as support vector machines (SVMs) and Shapley values, highlighting their relevance in economic research. Rather than providing an exhaustive survey, this paper focuses on practical insights to help economists effectively apply ML in their work.",https://documentos.fedea.net/pubs/dt/2025/dt2025-03.pdf
200,Ensemble Machine Learning Approaches Based on Molecular Descriptors and Graph Convolutional Networks for Predicting the Efflux Activities of MDR1 and BCRP Transporters,"Asahi Adachi, Tomoki Yamashita, Shigehiko Kanaya, Yohei Kosugi",12-Sep-23,"Abstract
Multidrug resistance (MDR1) and breast cancer resistance protein (BCRP) play important roles in drug absorption and distribution. Computational prediction of substrates for both transporters can help reduce time in drug discovery. This study aimed to predict the efflux activity of MDR1 and BCRP using multiple machine learning approaches with molecular descriptors and graph convolutional networks (GCNs). In vitro efflux activity was determined using MDR1- and BCRP-expressing cells. Predictive performance was assessed using an in-house dataset with a chronological split and an external dataset. CatBoost and support vector regression showed the best predictive performance for MDR1 and BCRP efflux activities, respectively, of the 25 descriptor-based machine learning methods based on the coefficient of determination (R2). The single-task GCN showed a slightly lower performance than descriptor-based prediction in the in-house dataset. In both approaches, the percentage of compounds predicted within twofold of the observed values in the external dataset was lower than that in the in-house dataset. Multi-task GCN did not show any improvements, whereas multimodal GCN increased the predictive performance of BCRP efflux activity compared with single-task GCN. Furthermore, the ensemble approach of descriptor-based machine learning and GCN achieved the highest predictive performance with R2 values of 0.706 and 0.587 in MDR1 and BCRP, respectively, in time-split test sets. This result suggests that two different approaches to represent molecular structures complement each other in terms of molecular characteristics. Our study demonstrated that predictive models using advanced machine learning approaches are beneficial for identifying potential substrate liability of both MDR1 and BCRP.",https://link.springer.com/article/10.1208/s12248-023-00853-y
201,An Automated Framework for Interaction Analysis of Driving Factors on Soil Salinization in Central Asia and Western China,"Lingyue Wang, Ping Hu, Hongwei Zheng, Jie Bai, Ying Liu, Olaf Hellwich, Tie Liu, Xi Chen, Anming Bao",11-Mar-25,"Abstract

Soil salinization is a global ecological and environmental problem, which is particularly serious in arid areas. The formation process of soil salinity is complex, and the interactive effects of natural causes and anthropogenic activities on soil salinization are elusive. Therefore, we propose an automated machine learning framework for predicting soil salt content (SSC), which can search for the optimal model without human intervention. At the same time, post hoc interpretation methods and graph theory knowledge are introduced to visualize the nonlinear interactions of variables related to SSC. The proposed method shows robust and adaptive performance in two typical arid regions (Central Asia and Xinjiang Province in western China) under different environmental conditions. The optimal algorithms for the Central Asia and Xinjiang regions are Extremely Randomized Trees (ET) and eXtreme Gradient Boosting (XGBoost), respectively. Moreover, precipitation and minimum air temperature are important feature variables for salt-affected soils in Central Asia and Xinjiang, and their strongest interaction effects are latitude and normalized difference water index. In both study areas, meteorological factors exhibit the greatest effect on SSC, and demonstrate strong spatiotemporal interactions. Soil salinization intensifies with long-term climate warming. Regions with severe SSC variation are mainly distributed around the irrigation water source and in low-terrain basins. From 1950 to 2100, the regional mean SSC (g/kg) varies by +20.94% and +64.76% under extreme scenarios in Central Asia and Xinjiang, respectively. In conclusion, our study provides a novel automated approach for interaction analysis of driving factors on soil salinization in drylands.",https://www.mdpi.com/2072-4292/17/6/987
202,Intelligent Reserve Prediction via Semantically-Enhanced Foundation Models: Towards Automated Decision-Making in Energy Exploration,"Le Miao, Jiashi Liu, Le Yang, Binglu Wang",2026,"Abstract

In the field of industrial automation and intelligent decision support systems, accurate prediction from limited heterogeneous data remains a critical challenge. Oil and gas reserve prediction, a pivotal task in exploration automation, is often plagued by limited sample sizes and multi-modal data comprising numerical measurements and textual features. Traditional machine learning models struggle to automate the extraction of rich semantic information, while existing deep learning models often lack native support for multi-modal inputs. To address these limitations and advance intelligent data mining techniques, this paper proposes a Semantically-Enhanced Tabular Foundation Model (SE-TFM). Our approach automates feature fusion by integrating a pre-trained language model to extract high-dimensional semantic embeddings and fusing them with numerical features via a learnable linear projection. Leveraging a Transformer-based architecture pre-trained on extensive synthetic priors, this intelligent framework effectively captures non-linear relationships in small-sample scenarios without extensive hyperparameter tuning. Experiments on a real-world dataset demonstrate that the proposed SE-TFM achieves an $R^{2}$ of 0.8929, significantly outperforming traditional methods and reducing prediction error by 5.7%. This work contributes to the development of robust, automated prediction algorithms for complex industrial applications.",https://ieeexplore.ieee.org/abstract/document/11580246/
203,Prediction of Adherence to an Online Wellness Program for People with Mobility Limitations: A Machine Learning Approach,"Salma Aly, Hui-Ju Young, James H. Rimmer, Tapan Mehta",19-Mar-26,"Abstract

Background/

Objectives: People with mobility limitations face disproportionately high rates of chronic health conditions and demonstrate lower adherence to wellness interventions. Digital programs such as MENTOR offer accessible alternatives but often face high rates of attrition. This study applied machine learning (ML) methods to predict adherence to the eight-week MENTOR telewellness program and identify key predictors of participant attendance. 

Methods: Data were drawn from 1218 adults enrolled in MENTOR (2023–2024). Adherence was defined as the percentage of 40 sessions attended. Baseline demographic, socioeconomic, psychosocial, mindfulness, resilience, health status, and physical activity variables were included as predictors. Following preprocessing and imputation, 13 ML regression models were trained using an 80/20 train–test split. The best-performing model was identified using mean absolute error (MAE), followed by feature selection and SHAP interpretability analyses. Pairwise synergy analysis quantified interactions between top predictors. 

Results: Model performance was modest overall. Bayesian ridge regression achieved the best performance (MAE 20.98; RMSE 25.26; R2 = 0.12). SHAP analyses revealed that education, race, emotional support, Area Deprivation Index, household size, mindfulness, life satisfaction, and disability onset were the strongest predictors of adherence. Higher emotional support, mindfulness, and life satisfaction were associated with greater adherence, while socioeconomic disadvantage predicted lower adherence. Synergy analyses showed the strongest predictive interactions between low education and psychosocial resources (emotional support and life satisfaction). 

Conclusions: Baseline characteristics alone modestly predicted adherence to a digital wellness program. However, psychosocial and socioeconomic factors emerged as meaningful predictors, underscoring the need for personalized support strategies to reduce dropout among participants with mobility limitations.",https://www.mdpi.com/2227-9032/14/6/781
204,Predictive maintenance in Industry 4.0: a survey of planning models and machine learning techniques,"Ida Hector, Rukmani Panjanathan",14-May-24,"Abstract

Equipment downtime resulting from maintenance in various sectors around the globe has become a major concern. The effectiveness of conventional reactive maintenance methods in addressing interruptions and enhancing operational efficiency has become inadequate. Therefore, acknowledging the constraints associated with reactive maintenance and the growing need for proactive approaches to proactively detect possible breakdowns is necessary. The need for optimisation of asset management and reduction of costly downtime emerges from the demand for industries. The work highlights the use of Internet of Things (IoT)-enabled Predictive Maintenance (PdM) as a revolutionary strategy across many sectors. This article presents a picture of a future in which the use of IoT technology and sophisticated analytics will enable the prediction and proactive mitigation of probable equipment failures. This literature study has great importance as it thoroughly explores the complex steps and techniques necessary for the development and implementation of efficient PdM solutions. The study offers useful insights into the optimisation of maintenance methods and the enhancement of operational efficiency by analysing current information and approaches. The article outlines essential stages in the application of PdM, encompassing underlying design factors, data preparation, feature selection, and decision modelling. Additionally, the study discusses a range of ML models and methodologies for monitoring conditions. In order to enhance maintenance plans, it is necessary to prioritise ongoing study and improvement in the field of PdM. The potential for boosting PdM skills and guaranteeing the competitiveness of companies in the global economy is significant through the incorporation of IoT, Artificial Intelligence (AI), and advanced analytics.",https://peerj.com/articles/cs-2016/
205,A Review of Federated Machine Learning for Crop Yield Prediction: Sustainable Integration of IOT and Smart Agriculture,"J Jagadeesan, R Nagarajan",2026,"Abstract

Federated Machine Learning (FML) has become an increasingly common approach for addressing data security and privacy issues in fields such as the Internet of Things (IoT) and agriculture. The application of FML in crop yield prediction is the primary objective of this review paper. Decentralized data from agricultural systems and Internet of Things devices is used to train models cooperatively without compromising sensitive data. FML ensures that data remains local by enabling distributed learning across several edge devices, improving privacy, and enabling effective and precise agricultural output forecasting. IoT sensors gather a variety of data in smart agriculture, including plant health measurements, soil conditions, and weather patterns. These data may be easily included in federated learning frameworks to provide real-time insights and decision -making. This study examines recent developments in agriculture -specific federated learning approaches, emphasizing important issues including communication effectiveness, model personalization, and data heterogeneity. The study additionally examines new developments in federated learning and innovative machine learning approaches to increase prediction accuracy, lower computing costs, and offer dependable options for sustainable agriculture.",https://www.indjcst.com/archiver/archives/a_review_of_federated_machine_learning_for_crop_yield_prediction_sustainable_integration_of_iot_and_smart_agriculture.pdf
206,Machine learning-based risk predictive models for depression in patients with diabetes: a systematic review and meta-analysis,"Xingxin Cai, Guiying Guo, Jun Zhou, Mengqi Han, Yuanyuan Cui, Zhenglin Chen",4/15/2026,"Abstract

Background: Currently, numerous studies have employed machine learning (ML) methods to develop predictive models for depression risk in patients with diabetes mellitus (DM); however, the findings remain inconsistent. Therefore, this study aims to clarify the current state of research and emerging trends in this field by systematically evaluating the performance, strengths, and limitations of existing prediction models.

Objective: This systematic review evaluates the performance and clinical applicability of ML-based depression risk prediction models for patients with DM, providing reliable evidence to assist healthcare professionals in selecting and optimizing more appropriate prediction models.

Methods: We conducted a systematic search of clinical studies employing ML approaches to predict depression risk in patients with DM across the PubMed, Embase, Cochrane Library, and Web of Science databases, from their inception to January 2026. The primary performance metric for the models was the area under the receiver operating characteristic curve (AUC) along with its 95% confidence interval (95% CI). Two independent researchers screened the literature, extracted data, and used PROBAST-AI to assess the risk of bias and clinical applicability of the included studies. Pooled AUC was estimated using the Der Simonian and Laird random-effects model.

Results: A total of 14 studies comprising 64 distinct ML models were included. All included studies were assessed as high risk of bias and high clinical applicability. A pooled analysis of the best-performing ML prediction models reported in each study showed a pooled AUC of 0.822 (95% CI, 0.789-0.858), indicating relatively good overall predictive performance. However, there was substantial heterogeneity among the studies (I² = 97.4%; P < 0.001). Subgroup analysis based on ML model types revealed the following pooled AUC values: 0.765 (95% CI 0.706-0.829) for traditional regression models, 0.789 (95% CI 0.747-0.834) for general machine learning models, and 0.802 (95% CI 0.769-0.836) for deep learning models. Notably, logistic regression (LR) (n = 10) was the most frequently employed ML method for developing depression risk prediction models in patients with DM. To evaluate model generalizability and avoid overfitting, the included studies adopted three validation strategies: 5-fold cross-validation yielded a pooled AUC of 0.913 (95% CI 0.781-1.067), 10-fold cross-validation yielded 0.819 (95% CI 0.781-0.858), and random split validation yielded 0.747 (95% CI 0.648-0.862). The most commonly used predictors in the included models were age, sex, and body mass index (BMI), which are readily available in clinical  and strongly associated with depression risk.

Conclusions: ML-based depression risk prediction models for patients with DM demonstrate overall satisfactory predictive performance. However, most existing studies had relatively small sample sizes and lacked external validation. Future research should prioritize refining study design and optimizing clinical data processing to improve the generalizability and stability of these models in clinical practice.",https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2026.1816661/full
207,Artificial intelligence for early prediction of gestational diabetes mellitus and preeclampsia: a systematic review of machine learning models and clinical decision support systems,"Subhashree Barada, Ramani Selvanambi",7/30/2026,"Abstract Gestational diabetes mellitus (GDM) and preeclampsia are among the most significant pregnancy complications, affecting approximately 5–15% and 2–8% of pregnancies worldwide, respectively. These disorders share overlapping metabolic, vascular, inflammatory, and placental mechanisms, highlighting the need for integrated approaches to early prediction and risk assessment. However, existing artificial intelligence (AI)-based prediction models generally address GDM and preeclampsia independently and are often limited by inadequate multimodal data integration, insufficient external validation, and limited model interpretability. This systematic review synthesizes recent advances (2020–2026) in AI-based prediction of GDM and preeclampsia, with emphasis on predictive methodologies, data modalities, validation strategies, and potential clinical applications. The review was conducted in accordance with the PRISMA 2020 guidelines, and 120 studies employing machine learning (ML), deep learning (DL), and hybrid AI approaches using clinical, biochemical, electronic health record (EHR), and multimodal data were included. Across the reviewed studies, AI-based models demonstrated promising predictive performance, with reported area under the receiver operating characteristic curve (AUC) values ranging from 0.70 to 0.95. Ensemble and deep learning approaches generally outperformed conventional statistical methods, particularly when multimodal data were integrated. Frequently identified predictive variables included maternal clinical characteristics, metabolic biomarkers, inflammatory biomarkers, and angiogenic markers such as soluble fms-like tyrosine kinase-1 (sFlt-1) and placental growth factor (PlGF). Nevertheless, important methodological challenges remain, including limited external validation, substantial data heterogeneity, insufficient model interpretability, inconsistent reporting practices, and limited integration into routine clinical workflows. Furthermore, most existing AI models predict GDM or preeclampsia independently despite their shared pathophysiological mechanisms, highlighting an important gap in current prediction research. This review provides a comprehensive synthesis of epidemiological, clinical, mechanistic, and AI-based evidence and proposes an evidence-informed conceptual framework that integrates multimodal data, mechanism-aware modeling, explainable AI, standardized validation, and clinical decision-support considerations. Rather than representing a validated predictive system, the proposed framework provides a conceptual foundation to guide future AI model development, prospective validation, and clinical evaluation. Overall, the findings highlight key opportunities and remaining challenges for developing robust, interpretable, and generalizable AI-based prediction models to support future precision maternal healthcare and improve maternal and neonatal outcomes.",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1890320/full
